sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,11905,1.jpg,168935,1200730,image_319499.jpg,0.3390964865684509
409,14684,8.jpg,310928,0495877,image_203212.jpg,0.3866734504699707
4506,27753,54.jpg,309515,4668986,image_487000.jpg,0.36970430612564087
4012,27022,26.jpg,153263,0237711,image_153036.jpg,0.37785452604293823
3657,14568,23.jpg,32875,0005042,image_84280.jpg,0.401353657245636
2286,13982,2.jpg,249725,2359285,image_420892.jpg,0.3805999755859375
1679,11803,18.jpg,39602,0768620,image_257702.jpg,0.31695353984832764
8935,25235,20.jpg,311040,0933156,image_286118.jpg,0.32912471890449524
1424,28102,9.jpg,433140,0484626,image_201111.jpg,0.3549250364303589
9674,11459,9.jpg,33943,0057150,image_115895.jpg,0.432921826839447
6912,25516,11.jpg,316372,0191688,image_143099.jpg,0.39444485306739807
520,29724,20.jpg,297650,1955206,image_392517.jpg,0.39686861634254456
488,14697,28.jpg,152858,1021417,image_296820.jpg,0.35726630687713623
1535,11679,31.jpg,460411,0182455,image_140554.jpg,0.3374807834625244
3582,11321,43.jpg,104999,3062625,image_458296.jpg,0.32594767212867737
3811,12423,4.jpg,225440,0447695,image_196178.jpg,0.3581607937812805
8279,10519,18.jpg,203099,0358316,image_178892.jpg,0.3529810905456543
9863,29836,55.jpg,406654,0001459,image_50653.jpg,0.3336016535758972
434,14684,9.jpg,471680,0257188,image_157113.jpg,0.37233737111091614
9195,25475,10.jpg,185248,0887272,image_276339.jpg,0.3371944725513458
3257,13401,13.jpg,405683,0004790,image_74757.jpg,0.385656476020813
8928,25235,55.jpg,300225,1258970,image_325735.jpg,0.3695303201675415
6873,29194,29.jpg,90484,0498247,image_203469.jpg,0.32081785798072815
3611,11321,19.jpg,317567,0092677,image_122269.jpg,0.39844614267349243
7359,27195,35.jpg,398419,0005527,image_103460.jpg,0.3954811692237854
9654,11459,18.jpg,8239,2180812,image_408474.jpg,0.363341361284256
4557,25263,33.jpg,447346,0788202,image_260797.jpg,0.44765618443489075
106,25400,54.jpg,55670,1826889,image_382569.jpg,0.412903368473053
2615,29101,49.jpg,296639,0000410,image_16530.jpg,0.39601385593414307
6924,25516,9.jpg,38987,3121907,image_460365.jpg,0.32409846782684326
5574,10179,27.jpg,343127,0282648,image_163537.jpg,0.36888885498046875
4552,25263,40.jpg,447511,2215706,image_411137.jpg,0.35179632902145386
2547,25636,32.jpg,228494,0111274,image_126569.jpg,0.374112606048584
3527,13842,43.jpg,361340,0935653,image_287386.jpg,0.37612760066986084
5514,28545,39.jpg,86876,0493797,image_202814.jpg,0.3504108786582947
1674,11803,8.jpg,344017,2534360,image_431651.jpg,0.35623985528945923
1519,11679,16.jpg,460714,0478762,image_200054.jpg,0.350254088640213
6224,11739,1.jpg,194972,0640669,image_231081.jpg,0.3676731586456299
1584,12035,35.jpg,457861,0001488,image_51403.jpg,0.400895893573761
5881,13087,54.jpg,233091,0519043,image_208348.jpg,0.37899452447891235
5635,28785,20.jpg,339028,0197638,image_144930.jpg,0.3453550338745117
9891,29836,0.jpg,153013,2079681,image_401665.jpg,0.3364432454109192
4333,29270,12.jpg,49814,1584582,image_362528.jpg,0.38469716906547546
711,14728,54.jpg,395114,0397171,image_186712.jpg,0.3899369239807129
