sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,9333,28.png,91838,1833525,image_383122.jpg,0.3407759666442871
409,4628,22.png,451575,1433588,image_346720.jpg,0.36618685722351074
4506,8630,8.png,219842,0004266,image_69420.jpg,0.4225018620491028
4012,5623,36.png,212294,0230859,image_151895.jpg,0.361455500125885
3657,3739,9.png,434078,2488331,image_429392.jpg,0.3665362596511841
2286,1212,37.png,9090,1446779,image_348239.jpg,0.36648890376091003
1679,5798,39.png,124073,0763928,image_256844.jpg,0.3676721453666687
8935,7836,24.png,362108,3632976,image_474011.jpg,0.4194128215312958
1424,8210,28.png,44768,2798112,image_446892.jpg,0.47950345277786255
9674,1548,28.png,237483,3441675,image_469814.jpg,0.37354958057403564
6912,8404,36.png,311355,1792864,image_380307.jpg,0.38753199577331543
520,2977,47.png,221173,2158763,image_406845.jpg,0.4261012077331543
488,8944,21.png,398812,4716572,image_487504.jpg,0.38933849334716797
1535,7036,24.png,369803,0005429,image_99622.jpg,0.4014779329299927
3582,4913,43.png,235161,0614249,image_227045.jpg,0.37948381900787354
3811,1307,3.png,98586,2953537,image_453518.jpg,0.365582138299942
8279,7142,39.png,373291,0001290,image_45674.jpg,0.4174158573150635
9863,1413,49.png,114403,0221046,image_150245.jpg,0.40911757946014404
434,4628,40.png,335657,0690642,image_241616.jpg,0.396409273147583
9195,7701,29.png,5085,0269463,image_160085.jpg,0.3696957230567932
3257,6052,9.png,165177,2998321,image_455754.jpg,0.39273902773857117
8928,7836,26.png,362108,3632976,image_474011.jpg,0.43774083256721497
6873,4869,1.png,329664,0722476,image_247841.jpg,0.3821169435977936
3611,6932,3.png,30442,1377577,image_339179.jpg,0.3654787540435791
7359,3425,22.png,111682,0000498,image_20998.jpg,0.37428760528564453
9654,1548,41.png,359172,1676221,image_369765.jpg,0.36135369539260864
4557,5437,9.png,381222,0716347,image_246901.jpg,0.41211873292922974
106,3271,8.png,482111,2405454,image_424482.jpg,0.43247663974761963
2615,5199,33.png,64955,1042825,image_299923.jpg,0.473136305809021
